,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000189221,2383.753707,3.378042059,0.130841928,25.81773364,5.61E-147,8.82E-143
ENSG00000120129,3440.703755,2.961555383,0.117834386,25.13320157,2.16E-139,1.70E-135
ENSG00000101347,14134.99177,3.757073863,0.159845608,23.5043922,3.68E-122,1.93E-118
ENSG00000109906,439.5415209,5.954776138,0.256079148,23.25365488,1.31E-119,5.14E-116
ENSG00000211445,12537.17993,3.754049496,0.164584004,22.80932167,3.71E-115,1.17E-111
ENSG00000162614,5646.183138,1.97377535,0.087692896,22.50781363,3.48E-112,9.13E-109
ENSG00000196136,739.3091787,3.160856797,0.143326766,22.05349976,8.84E-108,1.99E-104
ENSG00000134243,5569.874228,2.185134586,0.107126822,20.39764222,1.75E-92,3.10E-89
ENSG00000154734,29872.98786,2.228619189,0.109261205,20.39716833,1.77E-92,3.10E-89
ENSG00000152583,954.7709316,4.374228266,0.225700249,19.3806976,1.12E-83,1.77E-80
ENSG00000273259,2004.067971,3.269906531,0.173112652,18.88889403,1.41E-79,2.01E-76
ENSG00000178695,2685.409736,-2.514844856,0.137085367,-18.34510063,3.61E-75,4.74E-72
ENSG00000125148,3695.879462,2.210653144,0.121867675,18.13978272,1.55E-73,1.87E-70
ENSG00000157214,3042.424428,1.998492232,0.110678211,18.05678113,6.98E-73,7.84E-70
ENSG00000162692,501.8041848,-3.61855721,0.204813805,-17.66754545,7.46E-70,7.82E-67
ENSG00000166741,7542.25287,2.237582982,0.127020526,17.61591658,1.86E-69,1.83E-66
ENSG00000139132,1181.855783,2.027077899,0.115397134,17.56610257,4.48E-69,4.15E-66
ENSG00000253368,1051.873381,2.002200741,0.114176633,17.53599397,7.61E-69,6.65E-66
ENSG00000137809,1228.146207,-1.687161442,0.096779866,-17.43297968,4.64E-68,3.84E-65
ENSG00000165995,513.1095734,2.985564463,0.17177255,17.38091717,1.15E-67,9.06E-65
ENSG00000163884,574.1428646,4.427017743,0.254913349,17.36675526,1.47E-67,1.10E-64
ENSG00000198624,2020.044955,2.821910743,0.163397025,17.27027002,7.88E-67,5.64E-64
ENSG00000162493,1067.401949,1.769984167,0.10286192,17.20738018,2.34E-66,1.60E-63
ENSG00000163661,9918.01911,2.256033428,0.131775537,17.12027495,1.05E-65,6.87E-63
ENSG00000106976,989.0468336,-1.842737875,0.108986907,-16.90788306,3.94E-64,2.48E-61
ENSG00000099337,903.3094963,2.339401559,0.139886359,16.72358599,8.82E-63,5.34E-60
ENSG00000136478,3731.86034,1.492406443,0.089404128,16.69281353,1.48E-62,8.62E-60
ENSG00000163394,1207.006177,-2.187506805,0.133184658,-16.42461555,1.27E-60,7.17E-58
ENSG00000124766,1291.407901,-2.386885031,0.146226811,-16.32316952,6.75E-60,3.67E-57
ENSG00000179094,743.2526884,2.862284153,0.178756609,16.01218643,1.05E-57,5.51E-55
ENSG00000196569,18064.36643,2.02466712,0.126562011,15.99743163,1.33E-57,6.76E-55
ENSG00000146250,313.8211378,-2.722354744,0.170732878,-15.94511132,3.08E-57,1.52E-54
ENSG00000154930,672.6115117,1.879523867,0.118391432,15.87550586,9.37E-57,4.47E-54
ENSG00000107562,27826.65301,-1.836184463,0.115890797,-15.84409205,1.54E-56,7.15E-54
ENSG00000119139,5612.324576,1.953759811,0.124569087,15.68414647,1.94E-55,8.73E-53
ENSG00000163083,425.1148766,3.487587432,0.222476703,15.67619168,2.20E-55,9.62E-53
ENSG00000148175,13493.92037,1.422481154,0.090771899,15.67094183,2.39E-55,1.02E-52
ENSG00000108821,102624.2793,-1.286665853,0.082822158,-15.5352853,2.00E-54,8.29E-52
ENSG00000116285,3268.631916,2.42141453,0.155984738,15.52340669,2.41E-54,9.72E-52
ENSG00000145390,8772.651036,2.24396587,0.146482836,15.3189679,5.71E-53,2.25E-50
ENSG00000126016,404.3984001,-2.535913072,0.165700693,-15.30417902,7.17E-53,2.75E-50
ENSG00000277443,5819.240051,-1.238414697,0.082265955,-15.05379346,3.26E-51,1.22E-48
ENSG00000162616,1478.625002,1.376468674,0.091500172,15.04334516,3.82E-51,1.40E-48
ENSG00000262655,1645.285393,1.74377006,0.117349913,14.85957697,6.03E-50,2.16E-47
ENSG00000185432,3844.862296,2.202002206,0.148855281,14.79290621,1.63E-49,5.69E-47
